商品マスタID,Mycaアプリ上でのID,商品名,商品名カナ,エキスパンション,カード番号,レアリティ,封入パック,キーワード,JANコード,表示順,ジャンル,カテゴリ,販売店舗価格,買取価格,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
,800329120,デスマッチ・ビートル,,Y22,P25/Y22,R,スペシャルプロモパック2023 vol.2,,,,,カード,180,50,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/promoy22-025.jpg,,,,
,800329085,歌舞音愛 ヒメカット/♪蛙の子 遭えるの何処?好きと謂ひて,,Y22,P18/Y22,R,デュエマフェス ジャンケン大会優勝者賞 2023 6/24~,,,,,カード,1480,700,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/promoy22-018a.jpg,,,,
,800329080,龍脈術 水霊の計,,Y22,P17/Y22,U,ドラゴン娘のどこでもないゾーン第1巻付録,,,,,カード,680,400,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/promoy22-017.jpg,,,,
,800329075,ヴィオラの黒像,,Y22,P16/Y22,R,デュエル・マスターズグランプリ2023-1st オリジナル構築及びアドバンス構築上位128名贈呈賞品,,,,,カード,18800,13000,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/promoy22-016.jpg,,,,
,800329070,流星のガイアッシュ・カイザー,,Y22,P15/Y22,SR,デュエル・マスターズグランプリ2023-1st オリジナル構築及びアドバンス構築上位8名贈呈賞品,,,,,カード,0,500000,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/promoy22-015.jpg,,,,
,800329065,深淵の文暴具 ケシカス=カース,,Y22,P14/Y22,-,月刊コロコロコミック2023年7月号付録,,,,,カード,180,50,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/promoy22-014.jpg,,,,
,800329060,地龍神の魔陣,,Y22,P13/Y22,U,デュエル・マスターズグランプリ2023-1st オリジナル構築及びアドバンス構築 GPパック,,,,,カード,780,400,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/promoy22-013.jpg,,,,
,800329055,ベル=ゲルエール,,Y22,P12/Y22,C,月刊コロコロコミック2023年6月号付録,,,,,カード,380,200,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/promoy22-012.jpg,,,,
,800329045,氷打の妖精/巨打設計図,,Y22,P10/Y22,R,公認イベント「ガチデュエバトル」優勝者賞及びジャンケン大会優勝者賞 2023 4/22~6/23,,,,,カード,680,600,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/promoy22-010a.jpg,,,,
,800329035,護天!銀河MAX,,Y22,P8/Y22,R,スペシャルプロモパック2023 vol.1,,,,,カード,380,50,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/promoy22-008.jpg,,,,
,800329015,マジック・A・セミプーロ/♪閑かさや とにかくブレイン 蝉ミンミン,,Y22,P4/Y22,U,スペシャルプロモパック2023 vol.1,,,,,カード,680,400,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/promoy22-004a.jpg,,,,
,800329005,ザーク・砲・ピッチ,,Y22,P2/Y22,U,スペシャルプロモパック2023 vol.1,,,,,カード,380,50,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/promoy22-002.jpg,,,,
,800329000,イード=ミード/「奈落を見たいか？」,,Y22,P1/Y22,R,デュエマフェス ジャンケン大会優勝者賞 2023 4/22~6/23,,,,,カード,180,50,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/promoy22-001a.jpg,,,,
,800328580,暗黒凰ゼロ・フェニックス,,DM22EX2,秘3/秘︎3,SR,ヒーローズ・ダークサイド・パック 闇のキリフダたち,,,,,カード,3380,7000,,https://files.cardrush.media/duel_masters/ocha_products/40382.webp?w=256&q=75,,,,
,800328575,卍 デ・スザーク 卍,,DM22EX2,秘︎2/秘︎3,MDS,ヒーローズ・ダークサイド・パック 闇のキリフダたち,,,,,カード,4180,3500,,https://files.cardrush.media/duel_masters/ocha_products/40381.webp?w=256&q=75,,,,
,800328570,轟く侵略 レッドゾーン,,DM22EX2,秘︎1/秘︎3,LEG,ヒーローズ・ダークサイド・パック 闇のキリフダたち,,,,,カード,10800,9000,,https://files.cardrush.media/duel_masters/ocha_products/40380.webp?w=256&q=75,,,,
,800328565,制服槍 ブータン,,DM22EX2,H12B/H12,U,ヒーローズ・ダークサイド・パック 闇のキリフダたち,,,,,カード,880,1000,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm22ex2-12B.jpg,,,,
,800328560,堕∞魔 ヴォゲンム,,DM22EX2,H11B/H12,R,ヒーローズ・ダークサイド・パック 闇のキリフダたち,,,,,カード,1880,1600,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm22ex2-11B.jpg,,,,
,800328555,鬼ヶ英悪 ジャオウガOG,,DM22EX2,H10B/H12,VR,ヒーローズ・ダークサイド・パック 闇のキリフダたち,,,,,カード,280,100,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm22ex2-10B.jpg,,,,
,800328550,超神龍ダーク・オブ・ザ・ルナー,,DM22EX2,H9B/H12,VR,ヒーローズ・ダークサイド・パック 闇のキリフダたち,,,,,カード,1080,1000,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm22ex2-9B.jpg,,,,
,800328545,不敬合成王 ロマティックダム・アルキング,,DM22EX2,H8B/H12,SR,ヒーローズ・ダークサイド・パック 闇のキリフダたち,,,,,カード,780,500,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm22ex2-8B.jpg,,,,
,800328540,「鎮魂」の頂 ベートーベン・ソレムニス,,DM22EX2,H7B/H12,SR,ヒーローズ・ダークサイド・パック 闇のキリフダたち,,,,,カード,880,700,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm22ex2-7B.jpg,,,,
,800328535,暗黒の怨草士 クロユ・レシア,,DM22EX2,H6B/H12,SR,ヒーローズ・ダークサイド・パック 闇のキリフダたち,,,,,カード,280,100,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm22ex2-6B.jpg,,,,
,800328530,禁断の轟速 ブラックゾーン,,DM22EX2,H5B/H12,SR,ヒーローズ・ダークサイド・パック 闇のキリフダたち,,,,,カード,3480,2500,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm22ex2-5B.jpg,,,,
,800328525,暗黒神星アポロデス・フェニックス,,DM22EX2,H4B/H12,SR,ヒーローズ・ダークサイド・パック 闇のキリフダたち,,,,,カード,1280,600,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm22ex2-4B.jpg,,,,
,800328520,魔光神官ルドルフ・アルカディア,,DM22EX2,H3B/H12,SR,ヒーローズ・ダークサイド・パック 闇のキリフダたち,,,,,カード,2280,1500,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm22ex2-3B.jpg,,,,
,800328515,漆黒の深淵 ジャシン帝,,DM22EX2,H2B/H12,SR,ヒーローズ・ダークサイド・パック 闇のキリフダたち,,,,,カード,3080,2700,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm22ex2-2B.jpg,,,,
,800328510,黒神龍アブライゼ・ドルバ,,DM22EX2,H1B/H12,SR,ヒーローズ・ダークサイド・パック 闇のキリフダたち,,,,,カード,2680,2000,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm22ex2-1B.jpg,,,,
,800328505,制服槍 ブータン,,DM22EX2,H12A/H12,U,ヒーローズ・ダークサイド・パック 闇のキリフダたち,,,,,カード,380,400,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm22ex2-12A.jpg,,,,
,800328500,堕∞魔 ヴォゲンム,,DM22EX2,H11A/H12,R,ヒーローズ・ダークサイド・パック 闇のキリフダたち,,,,,カード,780,500,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm22ex2-11A.jpg,,,,
,800328490,超神龍ダーク・オブ・ザ・ルナー,,DM22EX2,H9A/H12,VR,ヒーローズ・ダークサイド・パック 闇のキリフダたち,,,,,カード,380,300,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm22ex2-9A.jpg,,,,
,800328480,「鎮魂」の頂 ベートーベン・ソレムニス,,DM22EX2,H7A/H12,SR,ヒーローズ・ダークサイド・パック 闇のキリフダたち,,,,,カード,280,100,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm22ex2-7A.jpg,,,,
,800328475,暗黒の怨草士 クロユ・レシア,,DM22EX2,H6A/H12,SR,ヒーローズ・ダークサイド・パック 闇のキリフダたち,,,,,カード,180,50,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm22ex2-6A.jpg,,,,
,800328470,禁断の轟速 ブラックゾーン,,DM22EX2,H5A/H12,SR,ヒーローズ・ダークサイド・パック 闇のキリフダたち,,,,,カード,2480,1800,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm22ex2-5A.jpg,,,,
,800328465,暗黒神星アポロデス・フェニックス,,DM22EX2,H4A/H12,SR,ヒーローズ・ダークサイド・パック 闇のキリフダたち,,,,,カード,580,200,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm22ex2-4A.jpg,,,,
,800328460,魔光神官ルドルフ・アルカディア,,DM22EX2,H3A/H12,SR,ヒーローズ・ダークサイド・パック 闇のキリフダたち,,,,,カード,880,700,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm22ex2-3A.jpg,,,,
,800328455,漆黒の深淵 ジャシン帝,,DM22EX2,H2A/H12,SR,ヒーローズ・ダークサイド・パック 闇のキリフダたち,,,,,カード,980,700,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm22ex2-2A.jpg,,,,
,800328450,黒神龍アブライゼ・ドルバ,,DM22EX2,H1A/H12,SR,ヒーローズ・ダークサイド・パック 闇のキリフダたち,,,,,カード,1280,800,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm22ex2-1A.jpg,,,,
,800328435,「鎮魂」の頂 ベートーベン・ソレムニス,,DM22EX2,S13/S15,SR,ヒーローズ・ダークサイド・パック 闇のキリフダたち,,,,,カード,180,50,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm22ex2-S13.jpg,,,,
,800328430,偽槍縫合 ヴィルジャベリン,,DM22EX2,S12/S15,SR,ヒーローズ・ダークサイド・パック 闇のキリフダたち,,,,,カード,180,50,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm22ex2-S12.jpg,,,,
,800328425,電磁魔天イエス・ザナドゥ,,DM22EX2,S11/S15,SR,ヒーローズ・ダークサイド・パック 闇のキリフダたち,,,,,カード,680,400,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm22ex2-S11.jpg,,,,
,800328415,一王二命三眼槍,,DM22EX2,S9/S15,SR,ヒーローズ・ダークサイド・パック 闇のキリフダたち,,,,,カード,280,200,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm22ex2-S09.jpg,,,,
,800328405,禁断の轟速 ブラックゾーン,,DM22EX2,S7/S15,SR,ヒーローズ・ダークサイド・パック 闇のキリフダたち,,,,,カード,1980,1800,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm22ex2-S07.jpg,,,,
,800328395,魔光神官ルドルフ・アルカディア,,DM22EX2,S5/S15,SR,ヒーローズ・ダークサイド・パック 闇のキリフダたち,,,,,カード,480,200,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm22ex2-S05.jpg,,,,
,800328390,漆黒の深淵 ジャシン帝,,DM22EX2,S4/S15,SR,ヒーローズ・ダークサイド・パック 闇のキリフダたち,,,,,カード,380,200,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm22ex2-S04.jpg,,,,
,800328385,黒神龍アブライゼ・ドルバ,,DM22EX2,S3/S15,SR,ヒーローズ・ダークサイド・パック 闇のキリフダたち,,,,,カード,580,300,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm22ex2-S03.jpg,,,,
,800328380,「黒幕」,,DM22EX2,S2/S15,SR,ヒーローズ・ダークサイド・パック 闇のキリフダたち,,,,,カード,280,50,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm22ex2-S02.jpg,,,,
,800328345,凶鬼98号 ガシャゴン/堕呪 ブラッドゥ,,DM22EX2,70/75,C,ヒーローズ・ダークサイド・パック 闇のキリフダたち,,,,,カード,180,50,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm22ex2-070a.jpg,,,,
,800328220,絶速 ザ・ヒート,,DM22EX2,45/75,U,ヒーローズ・ダークサイド・パック 闇のキリフダたち,,,,,カード,280,50,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm22ex2-045.jpg,,,,
,800328160,天災 デドダム,,DM22EX2,33/75,R,ヒーローズ・ダークサイド・パック 闇のキリフダたち,,,,,カード,280,100,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm22ex2-033.jpg,,,,
,800328115,ブレイン・スラッシュ,,DM22EX2,24/75,R,ヒーローズ・ダークサイド・パック 闇のキリフダたち,,,,,カード,280,50,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm22ex2-024.jpg,,,,
,800328090,ロスト・Re:ソウル,,DM22EX2,19/75,R,ヒーローズ・ダークサイド・パック 闇のキリフダたち,,,,,カード,280,200,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm22ex2-019.jpg,,,,
,800328065,Disアイ・チョイス,,DM22EX2,14/75,VR,ヒーローズ・ダークサイド・パック 闇のキリフダたち,,,,,カード,180,100,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm22ex2-014.jpg,,,,
,800328060,Disカルセ・ドニー,,DM22EX2,13/75,VR,ヒーローズ・ダークサイド・パック 闇のキリフダたち,,,,,カード,180,50,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm22ex2-013.jpg,,,,
,800327150,ダーク・ルピア,,DMPCD03,SP1/SP1,C,デュエマプレイス・コラボデッキ 激竜の英雄＆邪眼の始祖,,,,,カード,880,500,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dmpcd03-SP1.jpg,,,,
,800327120,インフェルノ・サイン,,DMPCD03,邪8/邪13,U,デュエマプレイス・コラボデッキ 激竜の英雄＆邪眼の始祖,,,,,カード,80,50,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dmpcd03-b08.jpg,,,,
,800327105,煉獄と魔弾の印,,DMPCD03,邪5/邪13,-,デュエマプレイス・コラボデッキ 激竜の英雄＆邪眼の始祖,,,,,カード,280,50,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dmpcd03-b05.jpg,,,,
,800327100,憎悪と怒りの獄門,,DMPCD03,邪4/邪13,SR,デュエマプレイス・コラボデッキ 激竜の英雄＆邪眼の始祖,,,,,カード,180,50,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dmpcd03-b04.jpg,,,,
,800327085,煉獄邪神M・R・C・ロマノフ,,DMPCD03,邪1/邪13,SR,デュエマプレイス・コラボデッキ 激竜の英雄＆邪眼の始祖,,,,,カード,280,300,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dmpcd03-b01.jpg,,,,
,800327015,時空の火焔ボルシャック・ドラゴン/勝利の覚醒者ボルシャック・メビウス,,DMPCD03,激4/激17,SR,デュエマプレイス・コラボデッキ 激竜の英雄＆邪眼の始祖,,,,,カード,380,100,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dmpcd03-a04a.jpg,,,,
,800326015,霊宝 ヒャクメ-4,,DMART07,4/5,R,神アート COLORFUL＊SNOW,,,,,カード,580,300,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dmart07-004.jpg,,,,
,800326010,聖魔連結王 ドルファディロム,,DMART07,3/5,KGM,神アート COLORFUL＊SNOW,,,,,カード,1580,1000,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dmart07-003.jpg,,,,
,800326005,天災 デドダム,,DMART07,2/5,-,神アート COLORFUL＊SNOW,,,,,カード,3380,2300,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dmart07-002.jpg,,,,
,800326000,その子供、可憐につき,,DMART07,1/5,-,神アート COLORFUL＊SNOW,,,,,カード,580,100,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dmart07-001.jpg,,,,
,800325020,ボルバルザーク・エクス,,DMART06,5/5,SR,神アート スーパー・ヴィジュアル・ショック ドラゴン編,,,,,カード,580,200,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dmart06-005.jpg,,,,
,800325015,メガ・マナロック・ドラゴン,,DMART06,4/5,SR,神アート スーパー・ヴィジュアル・ショック ドラゴン編,,,,,カード,580,200,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dmart06-004.jpg,,,,
,800325010,超竜バジュラ,,DMART06,3/5,SR,神アート スーパー・ヴィジュアル・ショック ドラゴン編,,,,,カード,680,300,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dmart06-003.jpg,,,,
,800325005,蒼き団長 ドギラゴン剣,,DMART06,2/5,LEG,神アート スーパー・ヴィジュアル・ショック ドラゴン編,,,,,カード,780,500,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dmart06-002.jpg,,,,
,800325000,勝利宣言 鬼丸「覇」,,DMART06,1/5,VIC,神アート スーパー・ヴィジュアル・ショック ドラゴン編,,,,,カード,1380,1100,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dmart06-001.jpg,,,,
,800323500,ロスト・Re:ソウル,,DM22RP2X,SP6/SP5,R,第2弾 轟炎の竜皇 超刺激パック,,,,,カード,84800,78000,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm22rp2x-SP6.jpg,,,,
,800323470,悪縁 ガクブッチ=リッチーモア,,DM22RP2X,3X/8,VR,第2弾 轟炎の竜皇 超刺激パック,,,,,カード,180,50,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm22rp2x-003X.jpg,,,,
,800323455,環嵐!ホールインワン・ヘラクレス,,DM22RP2X,S8X/S8,SR,第2弾 轟炎の竜皇 超刺激パック,,,,,カード,380,200,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm22rp2x-S8X.jpg,,,,
,800323450,氷駆の妖精,,DM22RP2X,S7X/S8,SR,第2弾 轟炎の竜皇 超刺激パック,,,,,カード,280,50,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm22rp2x-S7X.jpg,,,,
,800323445,ボルシャック・バラフィオル,,DM22RP2X,S6X/S8,SR,第2弾 轟炎の竜皇 超刺激パック,,,,,カード,280,100,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm22rp2x-S6X.jpg,,,,
,800323440,深淵の壊炉 マーダン=ロウ,,DM22RP2X,S5X/S8,SR,第2弾 轟炎の竜皇 超刺激パック,,,,,カード,380,200,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm22rp2x-S5X.jpg,,,,
,800323415,環嵐!ホールインワン・ヘラクレス,,DM22RP2X,S8/S8,SR,第2弾 轟炎の竜皇 超刺激パック,,,,,カード,380,100,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm22rp2x-S8.jpg,,,,
,800323405,ボルシャック・バラフィオル,,DM22RP2X,S6/S8,SR,第2弾 轟炎の竜皇 超刺激パック,,,,,カード,180,50,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm22rp2x-S6.jpg,,,,
,800323400,深淵の壊炉 マーダン=ロウ,,DM22RP2X,S5/S8,SR,第2弾 轟炎の竜皇 超刺激パック,,,,,カード,180,50,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm22rp2x-S5.jpg,,,,
,800323375,邪龍 ジャブラッド,,DM22RP2X,OR2/OR2,OR,第2弾 轟炎の竜皇 超刺激パック,,,,,カード,180,50,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm22rp2x-OR2.jpg,,,,
,800323235,空間型無限収納ストラトバッグ,,DM22RP2X,48/74,U,第2弾 轟炎の竜皇 超刺激パック,,,,,カード,180,50,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm22rp2x-048.jpg,,,,
,800323090,コッコ・武・ルピア,,DM22RP2X,19/74,R,第2弾 轟炎の竜皇 超刺激パック,,,,,カード,680,300,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm22rp2x-019.jpg,,,,
,800321835,堕呪 ゴンパドゥ,,DM22RP2,TF17/TF20,C,ゴッド・オブ・アビス 第2弾 轟炎の竜皇,,,,,カード,180,100,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm22rp2-TF17.jpg,,,,
,800321830,氷牙レオポル・ディーネ公/エマージェンシー・タイフーン,,DM22RP2,TF16/TF20,C,ゴッド・オブ・アビス 第2弾 轟炎の竜皇,,,,,カード,380,100,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm22rp2-TF16a.jpg,,,,
,800321825,とこしえの超人,,DM22RP2,TF15/TF20,U,ゴッド・オブ・アビス 第2弾 轟炎の竜皇,,,,,カード,180,50,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm22rp2-TF15.jpg,,,,
,800321755,冥界の不死帝 ブルース/「迷いはない。俺の成すことは決まった」,,DM22RP2,TF1/TF20,-,ゴッド・オブ・アビス 第2弾 轟炎の竜皇,,,,,カード,180,50,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm22rp2-TF1a.jpg,,,,
,800321655,冥界の不死帝 ブルース/「迷いはない。俺の成すことは決まった」,,DM22RP2,T1/T20,-,ゴッド・オブ・アビス 第2弾 轟炎の竜皇,,,,,カード,100,50,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm22rp2-T1a.jpg,,,,
,800321645,真実の名 タイガー・レジェンド,,DM22RP2,TR9/TR10,VR,ゴッド・オブ・アビス 第2弾 轟炎の竜皇,,,,,カード,280,100,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm22rp2-TR9.jpg,,,,
,800321640,ドマンモ龍樹,,DM22RP2,TR8/TR10,SR,ゴッド・オブ・アビス 第2弾 轟炎の竜皇,,,,,カード,580,100,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm22rp2-TR8.jpg,,,,
,800321635,流星のガイアッシュ・カイザー,,DM22RP2,TR7/TR10,SR,ゴッド・オブ・アビス 第2弾 轟炎の竜皇,,,,,カード,1680,1100,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm22rp2-TR7.jpg,,,,
,800321630,超次元の王家,,DM22RP2,TR6/TR10,SR,ゴッド・オブ・アビス 第2弾 轟炎の竜皇,,,,,カード,680,300,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm22rp2-TR6.jpg,,,,
,800321620,知識の破壊者デストルツィオーネ,,DM22RP2,TR4/TR10,SR,ゴッド・オブ・アビス 第2弾 轟炎の竜皇,,,,,カード,380,50,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm22rp2-TR4.jpg,,,,
,800321610,熱血武闘 カツキング,,DM22RP2,TR2/TR10,-,ゴッド・オブ・アビス 第2弾 轟炎の竜皇,,,,,カード,180,50,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm22rp2-TR2.jpg,,,,
,800321600,灰燼と天門の儀式,,DM22RP2,SP5/SP5,VR,ゴッド・オブ・アビス 第2弾 轟炎の竜皇,,,,,カード,3680,2300,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm22rp2-SP5.jpg,,,,
,800321595,蒼狼の大王 イザナギテラス,,DM22RP2,SP4/SP5,VR,ゴッド・オブ・アビス 第2弾 轟炎の竜皇,,,,,カード,1480,1100,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm22rp2-SP4.jpg,,,,
,800321590,キャンベロ <レッゾ.Star>,,DM22RP2,SP3/SP5,SR,ゴッド・オブ・アビス 第2弾 轟炎の竜皇,,,,,カード,4980,3300,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm22rp2-SP3.jpg,,,,
,800321585,天地命動 バラギアラ/輪廻暴聖,,DM22RP2,SP2/SP5,MHZ,ゴッド・オブ・アビス 第2弾 轟炎の竜皇,,,,,カード,2880,2500,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm22rp2-SP2a.jpg,,,,
,800321580,禁断竜王 Vol-Val-8,,DM22RP2,SP1/SP5,KGM,ゴッド・オブ・アビス 第2弾 轟炎の竜皇,,,,,カード,29800,27000,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm22rp2-SP1.jpg,,,,
,800321575,環嵐!ホールインワン・ヘラクレス,,DM22RP2,10B/10,SR,ゴッド・オブ・アビス 第2弾 轟炎の竜皇,,,,,カード,880,600,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm22rp2-10B.jpg,,,,
,800321570,氷駆の妖精,,DM22RP2,9B/10,SR,ゴッド・オブ・アビス 第2弾 轟炎の竜皇,,,,,カード,780,200,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm22rp2-9B.jpg,,,,
,800321565,ボルシャック・バラフィオル,,DM22RP2,8B/10,SR,ゴッド・オブ・アビス 第2弾 轟炎の竜皇,,,,,カード,280,100,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm22rp2-8B.jpg,,,,
,800321560,深淵の壊炉 マーダン=ロウ,,DM22RP2,7B/10,SR,ゴッド・オブ・アビス 第2弾 轟炎の竜皇,,,,,カード,1580,1200,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm22rp2-7B.jpg,,,,
,800321555,Law儿-怪Hawk,,DM22RP2,6B/10,SR,ゴッド・オブ・アビス 第2弾 轟炎の竜皇,,,,,カード,180,50,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm22rp2-6B.jpg,,,,
,800321550,Eine k’Reine,,DM22RP2,5B/10,SR,ゴッド・オブ・アビス 第2弾 轟炎の竜皇,,,,,カード,380,200,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm22rp2-5B.jpg,,,,
,800321545,ルベル・ゴルギーニ,,DM22RP2,4B/10,SR,ゴッド・オブ・アビス 第2弾 轟炎の竜皇,,,,,カード,280,100,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm22rp2-4B.jpg,,,,
,800321540,レディゴ・カリゾミダーマ,,DM22RP2,3B/10,SR,ゴッド・オブ・アビス 第2弾 轟炎の竜皇,,,,,カード,180,50,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm22rp2-3B.jpg,,,,
,800321535,邪龍 ジャブラッド,,DM22RP2,2B/10,OR,ゴッド・オブ・アビス 第2弾 轟炎の竜皇,,,,,カード,3080,3500,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm22rp2-2B.jpg,,,,
,800321530,轟炎の竜皇 ボルシャック・カイザー,,DM22RP2,1B/10,OR,ゴッド・オブ・アビス 第2弾 轟炎の竜皇,,,,,カード,680,400,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm22rp2-1B.jpg,,,,
,800321525,ディッシュ=ウィッシュ,,DM22RP2,20A/20,C,ゴッド・オブ・アビス 第2弾 轟炎の竜皇,,,,,カード,180,50,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm22rp2-20A.jpg,,,,
,800321520,コバヤシ・ジアマリン,,DM22RP2,19A/20,C,ゴッド・オブ・アビス 第2弾 轟炎の竜皇,,,,,カード,180,50,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm22rp2-19A.jpg,,,,
,800321515,ゼヴォカート-M2,,DM22RP2,18A/20,C,ゴッド・オブ・アビス 第2弾 轟炎の竜皇,,,,,カード,180,50,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm22rp2-18A.jpg,,,,
,800321510,イデア・パラドックス,,DM22RP2,17A/20,U,ゴッド・オブ・アビス 第2弾 轟炎の竜皇,,,,,カード,180,50,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm22rp2-17A.jpg,,,,
